#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Placement height,Placement delay,Vacuum detection,Vacuum value,Vision alignment,Speed,
stack,1,0,12,410.95,85.97,0.00,0402,2k2,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,2,0,12,411.17,99.97,0.00,0402,1k5,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,3,0,12,411.47,114.01,0.00,0402,1k0,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,4,0,12,410.45,127.72,0.00,0402,470R0,2.10,0,3.10,0,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,5,0,12,411.03,141.61,0.00,0402,1uF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,6,0,12,411.18,154.92,0.00,0402,33R0,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,7,0,12,411.12,168.82,0.00,0402,0.1uF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,8,0,12,411.90,247.46,0.00,0402,10k0,2.10,0,3.10,0,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,9,0,12,411.12,261.29,0.00,0402,10uF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,10,0,12,411.07,275.31,0.00,0402,12pF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,11,0,12,411.40,288.84,0.00,0402,18pF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,12,0,12,411.12,302.20,0.00,0402,22uF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,13,0,12,411.11,315.70,0.00,0402,24pF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,14,0,12,411.26,329.50,0.00,0402,27R0,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,15,0,12,411.80,342.86,0.00,0402,15k0,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,16,0,12,411.07,356.58,0.00,0402,30k0,2.10,0,3.10,0,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,20,0,12,23.45,26.54,0.00,0402,2.2uF,2.10,0,3.10,0,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,21,0,12,22.86,40.06,0.00,0402,6k49,2.10,0,3.10,0,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,22,0,12,23.60,53.75,0.00,0402,100pF,2.10,0,3.10,0,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,23,0,3,23.46,67.10,90.00,0805,LED_GRN,2.80,0,3.70,0,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,24,0,2,23.45,80.62,0.00,0603,FB2,3.00,0,4.20,0,No,0,1,100,4,60,30,No,No,-40,-40,-40,-40,
stack,25,0,3,23.91,93.85,0.00,1008,2.2uH,1.50,0,4.10,0,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,26,0,3,23.80,109.38,0.00,2-SMD,32.768KHz,2.20,0,4.10,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,27,0,1,23.29,119.48,-90.00,,unused,0.50,0,0.00,0,No,0,0,100,4,50,80,No,No,-40,-40,-40,-40,
stack,28,0,3,23.49,124.48,-90.00,3225,24MHz,2.00,0,3.70,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,29,0,3,23.37,138.17,-90.00,3225,25MHz,2.50,0,3.70,100,No,0,1,100,4,60,30,No,No,-40,-40,-40,-40,
stack,30,0,3,24.01,153.83,90.00,SOT-25,AP2151,2.20,0,4.30,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,31,0,3,23.71,167.13,-90.00,SOT-323,BC846BW,3.00,0,4.10,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,32,0,3,23.83,180.70,90.00,1210,100uF,2.20,0,4.30,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,49,1,3,142.21,74.65,0.00,QFN-24,KSZ8081,2.50,10,2.40,100,No,0,1,50,1,1,141.21,74.65,1,1,No,No,-40,-40,-40,-40,
stack,50,1,4,161.86,114.35,0.00,LQFP-176,S7G2,2.10,30,3.40,100,No,0,1,50,1,1,161.86,114.35,1,1,No,No,-40,-40,-40,-40,
stack,51,1,4,100.57,74.99,270.00,SD-CARD,SD_CARD,2.00,100,3.40,100,No,0,1,100,1,1,100.57,74.99,1,1,No,No,-40,-40,-40,-40,
stack,52,1,3,161.15,74.43,0.00,R7S3A6,R7S3A6,1.80,100,3.40,100,No,0,1,100,1,1,161.15,74.43,1,1,No,No,-40,-40,-40,-40,
stack,53,1,3,121.18,74.92,0.00,USB_B,USB_Micro,1.10,100,4.10,100,No,0,1,100,1,1,121.18,74.92,1,1,No,No,-40,-40,-40,-40,
stack,97,1,0,107.73,227.09,-90.00,1mm,AFID,0.50,0,0.00,0,No,0,0,100,1,1,107.73,227.09,1,1,No,No,-40,-40,-40,-40,
pcb,Manual,Lock,100,100,350,150,Front,10,10,0,
test,No,
mark,Whole,Auto,108.000,2.000,2.000,128.000,33.300,56.700,108.000,2.000,2.000,128.000,33.300,56.700,
markext,0,0.8,3,1,0,
markext,1,0.8,3,1,0,
markext,2,0.8,3,1,0,
markext,3,0.8,3,1,0,
markext,4,0.8,3,1,0,
markext,5,0.8,3,1,0,
mirror_create,1,1,108.000,2.000,0,0,0,0,0.000000,
mirror,108.000,2.000,0,No,
#Chip,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip
comp,97,1,AFID1,FIDUCIAL_1MM,FIDUCIAL_1MM,108.00,2.00,0,No,
comp,97,1,AFID2,FIDUCIAL_1MM,FIDUCIAL_1MM,2.00,128.00,0,No,
comp,97,1,AFID3,FIDUCIAL_1MM,FIDUCIAL_1MM,33.30,56.70,0,No,
comp,11,1,C17,18pF,0402,36.20,39.03,-90,No,
comp,11,1,C18,18pF,0402,38.13,39.50,180,No,
comp,9,1,C23,10uF,0402,29.90,20.45,0,No,
comp,7,1,C26,0.1uF,0402,28.80,20.45,0,No,
comp,5,1,C28,1uF,0402,45.00,8.40,-90,No,
comp,7,1,C29,0.1uF,0402,28.30,15.10,-90,No,
comp,32,1,C31,100uF_Tant,C1210,28.90,17.70,180,No,
comp,10,1,C32,12pF,0402,32.14,38.97,-90,No,
comp,7,1,C33,0.1uF,0402,32.02,40.07,-90,No,
comp,10,1,C37,12pF,0402,35.03,40.07,90,No,
comp,53,1,J7,USB-B-Micro,USB_MICRO-B,47.00,3.04,0,No,
comp,23,1,LED1,Green,0805,10.80,24.80,-90,No,
comp,23,1,LED3,Green,0805,61.06,8.28,0,No,
comp,23,1,LED4,Green,0805,64.20,52.80,90,No,
comp,23,1,LED5,Green,0805,64.20,41.80,90,No,
comp,23,1,LED6,Green,0805,71.76,7.98,0,No,
comp,23,1,LED7,Green,0805,81.26,7.98,0,No,
comp,23,1,LED8,Green,0805,64.10,31.70,90,No,
comp,23,1,LED9,Green,0805,64.10,21.40,90,No,
comp,23,1,LED10,Green,0805,107.32,103.06,90,No,
comp,23,1,LED11,Green,0805,91.66,7.78,0,No,
comp,23,1,LED12,Green,0805,107.52,113.06,90,No,
comp,23,1,LED13,Green,0805,101.26,7.78,0,No,
comp,23,1,LED14,Green,0805,65.14,72.22,180,No,
comp,23,1,LED15,Green,0805,107.32,122.26,90,No,
comp,23,1,LED16,Green,0805,66.96,81.68,0,No,
comp,4,1,R5,470R0,0402,8.12,24.09,0,No,
comp,15,1,R16,15K0,0402,45.60,10.40,0,No,
comp,14,1,R17,27R0,0402,46.70,10.40,0,No,
comp,14,1,R18,27R0,0402,47.70,10.40,0,No,
comp,8,1,R19,10K0,0402,31.60,21.20,-90,No,
comp,8,1,R20,10K0,0402,33.60,22.70,-90,No,
comp,16,1,R21,30K0,0402,45.00,7.30,90,No,
comp,1,1,R22,2K2,0402,36.31,42.50,-90,No,
comp,1,1,R28,2K2,0402,58.75,11.26,0,No,
comp,4,1,R31,470R0,0402,64.20,38.30,0,No,
comp,4,1,R32,470R0,0402,64.20,49.40,0,No,
comp,4,1,R33,470R0,0402,58.60,9.00,180,No,
comp,8,1,R34,10K0,0402,62.60,10.80,180,No,
comp,1,1,R35,2K2,0402,69.45,10.96,0,No,
comp,4,1,R36,470R0,0402,69.30,8.70,180,No,
comp,4,1,R51,470R0,0402,64.10,17.90,0,No,
comp,4,1,R52,470R0,0402,64.10,28.30,0,No,
comp,8,1,R53,10K0,0402,73.30,10.50,180,No,
comp,1,1,R54,2K2,0402,78.95,10.96,0,No,
comp,4,1,R55,470R0,0402,78.80,8.70,180,No,
comp,8,1,R56,10K0,0402,82.80,10.50,180,No,
comp,1,1,R57,2K2,0402,104.34,100.75,90,No,
comp,4,1,R58,470R0,0402,106.60,100.60,-90,No,
comp,8,1,R59,10K0,0402,104.80,104.60,-90,No,
comp,1,1,R60,2K2,0402,89.35,10.76,0,No,
comp,4,1,R73,470R0,0402,89.20,8.50,180,No,
comp,8,1,R74,10K0,0402,93.20,10.30,180,No,
comp,1,1,R75,2K2,0402,104.54,110.75,90,No,
comp,4,1,R76,470R0,0402,106.80,110.60,-90,No,
comp,8,1,R77,10K0,0402,105.00,114.60,-90,No,
comp,1,1,R78,2K2,0402,98.95,10.76,0,No,
comp,4,1,R79,470R0,0402,98.80,8.50,180,No,
comp,8,1,R80,10K0,0402,102.80,10.30,180,No,
comp,1,1,R81,2K2,0402,67.45,69.24,180,No,
comp,4,1,R82,470R0,0402,67.60,71.50,0,No,
comp,8,1,R83,10K0,0402,63.60,69.70,0,No,
comp,1,1,R84,2K2,0402,104.34,119.95,90,No,
comp,4,1,R97,470R0,0402,106.60,119.80,-90,No,
comp,8,1,R98,10K0,0402,104.80,123.80,-90,No,
comp,1,1,R99,2K2,0402,64.65,84.66,0,No,
comp,4,1,R100,470R0,0402,64.50,82.40,180,No,
comp,8,1,R101,10K0,0402,68.50,84.20,180,No,
comp,30,1,U2,AP2151DWG-7,SOT-23-5,33.20,18.50,-90,No,
comp,50,1,U3,S7G2LQFP176,LQFP176_24X24,33.30,56.70,90,No,
comp,31,1,U5,NPN,SOT323,60.71,11.52,0,No,
comp,31,1,U8,NPN,SOT323,71.41,11.22,0,No,
comp,31,1,U9,NPN,SOT323,80.91,11.22,0,No,
comp,31,1,U18,NPN,SOT323,104.08,102.71,90,No,
comp,31,1,U19,NPN,SOT323,91.31,11.02,0,No,
comp,31,1,U20,NPN,SOT323,104.28,112.71,90,No,
comp,31,1,U21,NPN,SOT323,100.91,11.02,0,No,
comp,31,1,U28,NPN,SOT323,65.49,68.98,180,No,
comp,31,1,U29,NPN,SOT323,104.08,121.91,90,No,
comp,31,1,U30,NPN,SOT323,66.61,84.92,0,No,
comp,28,1,X2,24MHz,SMD_3225,37.31,35.89,0,No,
comp,26,1,X3,32.768KHz,SMD_X_2_PADS,32.10,37.26,90,No,
